2536;Kierujesz samochodem osobowym podczas ulewnego deszczu. Którą z wymienionych czynności należy wykonać po wjechaniu w koleinę wypełnioną wodą?;Płynnie zmniejszyć prędkość.;Zdecydowanie przyhamować.;Zdecydowanie przyspieszyć.;A;;SPECJALISTYCZNY;3;B;B4
2538;Która z wymienionych czynności może zwiększyć bezpieczeństwo podczas jazdy po zaśnieżonej drodze?;Hamowanie wyłącznie przy użyciu hamulca ręcznego.;Stosowanie opon zimowych.;Zdecydowane przyspieszanie.;B;;SPECJALISTYCZNY;3;B;B4
3429;Którą z wymienionych czynności należy wykonać, kierując samochodem osobowym w nocy podczas mgły?;Zmniejszyć prędkość.;Włączyć światła drogowe w celu polepszenia widoczności.;Jechać bardzo blisko poprzedzającego pojazdu, aby widzieć jego światła pozycyjne.;A;;SPECJALISTYCZNY;3;B;B4
3523;Kierujesz samochodem osobowym. Jak powinieneś postąpić w czasie przejazdu przez rozległą kałużę?;Zdecydowanie przyśpieszyć.;Gwałtownie przyhamować.;Płynnie zmniejszyć prędkość jazdy.;C;;SPECJALISTYCZNY;3;B;B4
3524;Kierujesz samochodem. Jak powinieneś się zachować w czasie wymijania pojazdu nocą?;Patrzeć prosto w reflektory pojazdu nadjeżdżającego z przeciwka.;Zmienić światła mijania na drogowe.;Patrzeć w prawo od źródła światła pojazdu nadjeżdżającego z przeciwka i wypatrywać tam ewentualnej przeszkody. ;C;;SPECJALISTYCZNY;3;B;B4
3625;Jaki odstęp należy zachować podczas wymijania samochodem osobowym innego pojazdu?;Bezpieczny, ale nie mniejszy niż 1,5 metra.;Bezpieczny, uzależniony od szerokości jezdni i warunków ruchu.;Bezpieczny, czyli zawsze taki sam.;B;;SPECJALISTYCZNY;3;B;B3
3627;Jaki odstęp należy zachować podczas omijania samochodem osobowym przeszkody na drodze?;Bezpieczny, ale nie mniejszy niż 0,8 metra.;Bezpieczny, czyli zawsze jednakowy.;Bezpieczny, uzależniony od szerokości jezdni i warunków ruchu.;C;;SPECJALISTYCZNY;3;B;B3
3634;Jak dwukrotne zwiększenie prędkości samochodu osobowego wpływa na długość jego drogi hamowania?;Zwiększa dwukrotnie długość drogi hamowania.;Zwiększa czterokrotnie długość drogi hamowania.;Nie powoduje zmiany długości drogi hamowania.;B;;SPECJALISTYCZNY;3;B;B3
3650;Jak duży odstęp od poprzedzającego pojazdu należy utrzymywać, kierując samochodem osobowym poza obszarem zabudowanym w tunelu o długości 600 metrów?;Nie mniejszy niż 50 metrów.;Nie mniejszy niż 40 metrów.;Nie mniejszy niż 30 metrów.;A;;SPECJALISTYCZNY;3;B;B3
3651;Który z czynników ma bezpośredni wpływ na długość drogi zatrzymania samochodu osobowego?;Czas reakcji kierującego pojazdem.;Masa pasażerów.;Masa pojazdu.;A;;SPECJALISTYCZNY;3;B;B3
3652;Który z czynników ma bezpośredni wpływ na długość drogi zatrzymania samochodu osobowego?;Masa pasażera.;Prędkość i stan nawierzchni.;Masa pojazdu.;B;;SPECJALISTYCZNY;3;B;B3
3723;Który z wymienionych elementów stanowi obowiązkowe wyposażenie każdego samochodu osobowego?;Trójkąt ostrzegawczy.;Apteczka.;Koło zapasowe.;A;;SPECJALISTYCZNY;3;B;B2
3724;Który z wymienionych elementów stanowi obowiązkowe wyposażenie każdego samochodu osobowego?;Apteczka.;Gaśnica.;Koło zapasowe.;B;;SPECJALISTYCZNY;3;B;B2
3759;Którego z wymienionych świateł wolno Ci używać, gdy kierujesz samochodem osobowym podczas mgły?;Świateł do jazdy dziennej.;Świateł przeciwmgłowych przednich.;Wyłącznie świateł drogowych.;B;;PODSTAWOWY;3;B;B4
3761;Którą z tych czynności masz obowiązek wykonać podczas wyprzedzania samochodem osobowym we mgle poza obszarem zabudowanym?;Dawać krótkotrwałe sygnały świetlne.;Dawać krótkotrwałe sygnały dźwiękowe.;Włączyć tylne światła przeciwmgłowe, niezależnie od stopnia ograniczenia widoczności.;B;;PODSTAWOWY;3;B;B4
3778;Jak należy zachować się podczas wymijania samochodem osobowym w nocy innego pojazdu?;Patrzeć prosto w światła pojazdu nadjeżdżającego z przeciwka.;Zmienić światła mijania na drogowe.;Patrzeć w prawo od źródła światła pojazdu nadjeżdżającego z przeciwka i wypatrywać tam ewentualnej przeszkody. ;C;;SPECJALISTYCZNY;3;B;B4
4160;Która z tych czynności zwiększy bezpieczeństwo jazdy, gdy kierujesz samochodem osobowym podczas mgły ograniczającej widoczność do 40 metrów?;Włączenie świateł drogowych.;Zmniejszenie odstępu od poprzedzającego pojazdu.;Włączenie świateł przeciwmgłowych tylnych.;C;;SPECJALISTYCZNY;3;B;B4
4534;Jak należy postąpić, podczas jazdy samochodem osobowym po drodze pokrytej śniegiem?;Unikać gwałtownych ruchów kierownicą.;Odłączyć system kontroli trakcji.;Na podjazdach zwiększyć prędkość.;A;;SPECJALISTYCZNY;3;B;B4
6463;Jadąc zimą spotykasz na poboczu sinego, półprzytomnego, wyziębionego człowieka. Jak należy mu pomóc?;Podać mu gorący napój.;Podać mu alkohol.;Wezwać zespół ratownictwa medycznego, zabrać go do samochodu, okryć i powoli ogrzewać.;C;;SPECJALISTYCZNY;3;B;B10
10043;W którym z wymienionych miejsc na drodze, możesz poruszać się samochodem osobowym z prędkością 60 km/h w godzinach od 8.00 do 20.00?;Strefa zamieszkania.;Obszar zabudowany.;Obszar niezabudowany.;C;;SPECJALISTYCZNY;3;B;B1
